Rank,Dataset,Gene,Type,Outgoing_Strength,Outgoing_Strength_Std,Top5_Outgoing_Targets
10,Kameneva,HAND2,Gene,36.196,18.502,PHOX2A (+2.57); BEX1 (+2.51); UCHL1 (+2.49); GAL (+2.21); BASP1 (+2.16)
11,Kameneva,ZEB2,Gene,33.916,3.222,RPS2 (-1.41); RPL32 (-1.30); RPL12 (-1.24); MEG3 (-1.23); DLK1 (-1.15)
12,Kameneva,DLK1,Gene,33.534,2.69,PRPH (-2.40); RPL10 (+1.87); RTN1 (-1.83); YBX1 (+1.54); GAPDH (+1.46)
13,Kameneva,COL5A2,Gene,29.82,7.914,HAND2 (-1.04); TH (-1.04); STMN2 (-0.99); ATP5F1E (-0.96); CD24 (-0.92)
14,Kameneva,RPS13,Gene,28.564,16.221,HAND2-AS1 (-2.19); MEG3 (-2.08); HAND2 (-2.04); PCSK1N (-1.58); CHGA (-1.44)
15,Kameneva,PCSK1N,Gene,27.873,5.799,CHGA (+4.28); ATP5F1E (+4.02); FAU (+3.63); HINT1 (+2.77); RPS4X (+1.05)
16,Kameneva,MT-CYB,Gene,25.177,5.201,PTPRZ1 (+1.43); PTN (+1.12); PLP1 (+1.06); METRN (+1.02); VCAN (+0.94)
17,Kameneva,HMGN2,Gene,24.588,3.704,POSTN (+2.13); COL1A2 (+1.21); HNRNPA1 (+1.07); B2M (+1.05); PPIA (+1.04)
18,Kameneva,PTMA,Gene,24.173,6.146,DLK1 (-1.66); VCAN (+1.53); ZEB2 (+1.42); TH (-1.37); MEG3 (-1.31)
19,Kameneva,HINT1,Gene,23.475,4.388,BTF3 (+1.96); RPL41 (+1.90); RPL10 (+1.68); GAPDH (+1.45); HNRNPA1 (+1.37)
20,Kameneva,MEG8,Gene,23.076,5.715,HAND2-AS1 (+1.23); MEG3 (+1.15); CHGA (+1.02); DBH (+0.98); RGS5 (+0.97)
21,Kameneva,UBC,Gene,22.98,2.649,ACTG1 (+1.32); RPL34 (+1.22); EEF2 (+1.09); RPL10 (+1.06); VIM (+0.97)
22,Kameneva,PTPRZ1,Gene,22.279,6.056,RPS4X (-1.06); TMSB10 (-0.86); CHGA (-0.84); RPL41 (-0.74); RPS2 (-0.70)
23,Kameneva,DBH,Gene,22.184,9.88,STMN2 (+3.28); RGS4 (+2.89); EEF1A2 (+2.70); MEG3 (+2.08); PHOX2A (+1.78)
24,Kameneva,SCG2,Gene,21.698,8.286,RPL34 (+1.63); FAU (+1.44); BTF3 (+1.35); EIF4A2 (+1.27); RPS13 (+1.23)
25,Kameneva,STMN2,Gene,20.593,5.508,PTMA (+1.92); CHGA (-1.82); NEFL (+1.72); RTN1 (+1.57); GAP43 (+1.41)
26,Kameneva,RTN1,Gene,20.52,10.383,PENK (-1.96); CARTPT (-1.56); DLK1 (-1.39); S100A10 (+1.29); CHGA (-0.98)
27,Kameneva,BASP1,Gene,20.447,8.486,TMSB10 (+1.13); YBX1 (+0.92); GAPDH (+0.88); PTMA (+0.87); CHGA (-0.81)
