gene,selection_summary,sample_0.0-temporal_0.0,sample_0.0-temporal_108.0,sample_0.0-temporal_12.0,sample_0.0-temporal_120.0,sample_0.0-temporal_132.0,sample_0.0-temporal_144.0,sample_0.0-temporal_156.0,sample_0.0-temporal_168.0,sample_0.0-temporal_180.0,sample_0.0-temporal_192.0,sample_0.0-temporal_204.0,sample_0.0-temporal_216.0,sample_0.0-temporal_228.0,sample_0.0-temporal_24.0,sample_0.0-temporal_240.0,sample_0.0-temporal_252.0,sample_0.0-temporal_264.0,sample_0.0-temporal_276.0,sample_0.0-temporal_288.0,sample_0.0-temporal_300.0,sample_0.0-temporal_312.0,sample_0.0-temporal_324.0,sample_0.0-temporal_336.0,sample_0.0-temporal_348.0,sample_0.0-temporal_36.0,sample_0.0-temporal_360.0,sample_0.0-temporal_372.0,sample_0.0-temporal_384.0,sample_0.0-temporal_396.0,sample_0.0-temporal_408.0,sample_0.0-temporal_420.0,sample_0.0-temporal_48.0,sample_0.0-temporal_60.0,sample_0.0-temporal_72.0,sample_0.0-temporal_84.0,sample_0.0-temporal_96.0,sample_0.0-celltype_Epithelial,sample_0.0-celltype_MEF,sample_0.0-celltype_Neural,sample_0.0-celltype_Stromal,sample_0.0-celltype_Trophoblast,sample_0.0-celltype_iPSC
Fam20c,temporal - 0.0 - 2,1.4296296296296296,0.7555555555555555,0.1873015873015873,0.5724867724867724,0.09629629629629627,0.007407407407407474,0.3999999999999999,0.19259259259259262,0.0222222222222222,0.014814814814814836,0.14814814814814814,0.1333333333333333,0.4000000000000001,0.20740740740740743,0.18518518518518517,0.2370370370370371,0.16296296296296298,0.17777777777777778,0.029629629629629645,0.11111111111111113,0.07407407407407413,0.10370370370370377,0.20740740740740743,0.14814814814814814,0.09629629629629631,0.07407407407407413,0.05925925925925919,0.06666666666666667,0.022222222222222296,0.029629629629629645,0.014814814814814822,0.11111111111111102,0.03703703703703701,0.029629629629629645,0.022222222222222185,0.03703703703703701,0.20812978955070202,0.4648014047974862,0.09883639306625713,0.025682522468777197,0.037588944308370315,0.34056587051336784
Fos,temporal - 276.0 - 1,0.0,0.007407407407407356,0.16621315192743766,0.03287981859410424,0.00740740740740746,0.08888888888888895,0.1777777777777778,0.10370370370370367,0.08888888888888885,0.08888888888888885,0.1185185185185185,0.3481481481481481,0.4518518518518518,0.0592592592592593,0.0592592592592593,0.16296296296296298,0.3185185185185185,0.28148148148148155,0.42222222222222217,0.6518518518518518,0.11111111111111105,0.18518518518518517,0.014814814814814808,0.5037037037037038,0.18518518518518517,0.07407407407407413,0.1555555555555555,0.3111111111111111,0.28148148148148155,0.14814814814814814,0.04444444444444437,0.11851851851851859,0.3481481481481482,0.05185185185185187,0.04444444444444451,0.14074074074074078,0.2847978089676766,0.04763504545965097,0.14394536250196135,0.16367652051796977,0.048712847431082146,0.3422061110819846
Gabarap,temporal - 84.0 - 2,0.0222222222222222,0.874074074074074,0.5201058201058202,0.9201058201058201,0.37037037037037035,0.3851851851851852,0.5259259259259259,0.8666666666666667,0.014814814814814725,0.0962962962962963,0.02222222222222231,0.14814814814814814,0.17037037037037045,0.18518518518518515,0.06666666666666665,0.7555555555555555,0.8814814814814815,0.06666666666666668,0.3111111111111111,0.1185185185185186,0.14074074074074078,0.022222222222222185,0.08148148148148149,0.029629629629629645,0.007407407407407474,0.0962962962962963,0.38518518518518513,0.38518518518518513,0.2962962962962963,0.2518518518518518,0.14814814814814814,0.18518518518518517,0.007407407407407474,0.34814814814814815,0.037037037037037035,0.23703703703703713,0.06714606783415089,0.37631622113639973,0.35091626819942356,0.34750547532529197,0.19550974940760352,0.4273491836423897
Gadd45b,temporal - 360.0 - 1,0.7333333333333334,0.4222222222222223,0.15797430083144365,0.1061224489795918,0.03703703703703701,0.03703703703703712,0.11111111111111113,0.37777777777777777,0.029629629629629672,0.2148148148148148,0.014814814814814836,0.3925925925925926,0.45925925925925926,0.05925925925925929,0.0222222222222222,0.4370370370370371,0.1333333333333333,0.13333333333333344,0.3407407407407407,0.24444444444444446,0.10370370370370374,0.11851851851851858,0.3925925925925926,0.16296296296296298,0.09629629629629621,0.12592592592592589,0.6148148148148148,0.49629629629629624,0.11851851851851847,0.3185185185185186,0.7407407407407408,0.17037037037037045,0.4296296296296296,0.3111111111111111,0.1111111111111111,0.12592592592592589,0.12196470125729614,0.09999315554655641,0.3624379588567086,0.057944453244017036,0.01606363691124113,0.39688864303707366
Ggh,temporal - 60.0 - 2,0.22962962962962966,0.21481481481481482,0.419954648526077,0.05699168556311407,0.08148148148148149,0.6814814814814814,0.6888888888888889,0.5555555555555556,0.10370370370370374,0.07407407407407413,0.3481481481481481,0.06666666666666665,0.2148148148148148,0.1333333333333333,0.27407407407407414,0.3481481481481481,0.3185185185185185,0.037037037037037035,0.22962962962962963,0.0222222222222222,0.08148148148148149,0.03703703703703712,0.1185185185185185,0.007407407407407363,0.0222222222222222,0.04444444444444451,0.2592592592592593,0.27407407407407414,0.2148148148148148,0.04444444444444448,0.014814814814814836,0.029629629629629534,0.014814814814814725,0.14814814814814814,0.0,0.04444444444444437,0.04910322810797907,0.22315985078307987,0.03983805300233717,0.015676753289145362,0.3629652316518295,0.4438550182837428
Gm26917,temporal - 48.0 - 2 / temporal - 216.0 - 2 / temporal - 228.0 - 1 / temporal - 372.0 - 2,0.8074074074074075,0.03703703703703712,0.012169312169312108,0.9211640211640213,0.562962962962963,0.10370370370370366,0.30370370370370364,0.5407407407407407,0.08888888888888885,0.0,0.0,0.08888888888888885,0.07407407407407401,0.014814814814814826,0.07407407407407413,0.7703703703703704,0.2962962962962963,0.45925925925925926,1.0666666666666667,0.7999999999999999,0.5629629629629629,0.5333333333333334,0.3333333333333334,0.22962962962962963,0.04444444444444445,0.4444444444444444,0.3111111111111111,0.11111111111111105,0.007407407407407363,0.3185185185185185,0.4296296296296296,0.674074074074074,0.32592592592592595,0.33333333333333326,0.18518518518518515,0.38518518518518513,0.2202945553845457,0.25887704065308736,0.21091304742792488,0.21994471299198448,0.24854028253471872,0.3078124169670564
Gng12,celltype - Trophoblast - 2,0.7777777777777777,0.28888888888888886,0.27755102040816326,0.6256991685563115,0.1111111111111111,0.3037037037037038,0.562962962962963,0.6444444444444445,0.007407407407407349,0.04444444444444447,0.30370370370370364,0.10370370370370369,0.5555555555555555,0.16296296296296298,0.27407407407407397,0.8074074074074074,0.30370370370370364,0.14074074074074078,0.051851851851851816,0.1555555555555555,0.22962962962962963,0.25185185185185194,0.4296296296296297,0.037037037037037035,0.06666666666666665,0.059259259259259345,0.3185185185185184,0.22962962962962963,0.0,0.22962962962962963,0.01481481481481478,0.2148148148148148,0.08888888888888885,0.14814814814814814,0.037037037037037035,0.09629629629629627,0.12399204938286223,0.6184845126472125,0.23297326759656117,0.13211444480028112,0.6805559066995733,0.6570791591725256
Gstp1,temporal - 60.0 - 1 / temporal - 132.0 - 2 / temporal - 228.0 - 2,0.5925925925925926,0.07407407407407401,0.20937263794406652,0.4760393046107332,0.0,0.7185185185185186,0.6962962962962964,0.7703703703703704,0.3481481481481481,0.19259259259259262,0.07407407407407401,1.2666666666666666,0.10370370370370363,0.03703703703703698,0.1703703703703703,0.014814814814814836,0.04444444444444437,0.014814814814814836,0.48888888888888893,0.711111111111111,0.0,0.03703703703703701,0.06666666666666665,0.029629629629629645,0.3333333333333334,0.0888888888888888,0.3185185185185184,0.49629629629629624,0.07407407407407401,0.0,0.11851851851851858,0.20740740740740735,0.007407407407407335,0.34814814814814815,0.014814814814814836,0.09629629629629621,0.22427155665449477,0.17826527299491518,0.08149295146545099,0.07829420349673177,0.43627018877785195,0.045645337832849464
Hes1,temporal - 252.0 - 2,0.1925925925925926,0.43703703703703706,0.6687074829931972,0.883522297808012,0.19259259259259265,0.17777777777777778,0.19999999999999998,0.22222222222222227,0.09629629629629621,0.14814814814814814,0.03703703703703712,0.15555555555555547,0.14814814814814814,0.06666666666666665,0.10370370370370366,0.5111111111111111,0.28148148148148144,0.3111111111111111,0.8666666666666667,0.34074074074074073,0.14074074074074078,0.8148148148148149,0.24444444444444444,0.0444444444444444,0.20740740740740743,0.08148148148148149,0.2740740740740741,0.1925925925925926,0.0,0.20740740740740743,0.02222222222222231,0.22962962962962966,0.2962962962962963,0.1555555555555555,0.20740740740740737,0.437037037037037,0.045245054456310774,0.4555147742536398,0.25885505702417233,0.043530213814198415,0.4353905659432912,0.052469508965685474
Hist1h2ap,temporal - 132.0 - 1,0.2666666666666666,1.3185185185185186,0.09863945578231291,0.4023431594860167,0.22962962962962963,0.4740740740740741,0.7703703703703704,0.4962962962962963,0.3481481481481482,0.19999999999999998,0.1333333333333333,1.451851851851852,0.014814814814814808,0.3555555555555556,0.21481481481481482,0.24444444444444446,0.1333333333333333,0.17037037037037034,0.05925925925925919,0.08148148148148149,0.04444444444444437,0.0,0.1185185185185185,0.04444444444444437,0.08888888888888896,0.05185185185185184,0.1333333333333333,0.48148148148148145,0.029629629629629672,0.10370370370370366,0.19259259259259262,0.007407407407407363,0.2962962962962963,0.2592592592592593,0.1481481481481482,0.08148148148148149,0.22816967805247962,0.026868537189195074,0.05213603217468138,0.39490169464352676,0.4235879414976156,0.34174710051190194
