gene_id	symbol	mrna_half_life_h	prot_half_life_h	measurement_group
MGI:107818	Mrc2	18.97	19.499999999999996	Mrc2;RP23-35E7.1-001;Kiaa0709
MGI:107822	Ebp	26.120000000000005	114.67999999999996	Ebp;Msi;RP23-27I6.10-002
MGI:107846	Prmt1	10.1	98.24999999999997	Prmt1;Hrmt1l2;Mrmt1
MGI:107848	Tubb4a		153.29000000000005	Tubb4
MGI:107851	Ndufv1	13.120000000000003	32.760000000000005	Ndufv1
MGI:107862	Nop16	10.979999999999999	18.71	Nop16;D13Wsu177e
MGI:107876	Uqcrc1	17.880000000000003	194.92999999999998	Uqcrc1
MGI:107877	Prkcsh	18.79	91.67000000000003	Prkcsh
MGI:107887	Gtf3c1	13.450000000000001	8.520000000000001	Gtf3c1
MGI:107889	Exosc5	7.9399999999999995	64.59000000000002	Exosc5;D7Wsu180e;Rrp46
MGI:107891	Nop2	6.53	67.97	Nop2;Nol1
MGI:107892	Fam3c	11.82	32.68	Fam3c;D6Wsu176e
MGI:107901	Nfyc	8.19	45.13	Nfyc
MGI:107912	Ssrp1	13.97	32.529999999999994	Ssrp1;RP23-232L15.5-002
MGI:107913	Tial1	9.430000000000001	69.08000000000003	Tial1
MGI:107926	Rock2	11.28	89.93000000000005	Rock2
MGI:107927	Rock1	9.11	47.31999999999999	Rock1
MGI:107929	Pip5k1a	4.16	7.23	Pip5k1a;Pip5k1b
MGI:107931	Sqstm1	9.95	5.37	Sqstm1;A170;STAP
MGI:107932	Ndufs6	22.92	33.83	Ndufs6;Ip13
MGI:107935	Lrig1	6.76	3.5699999999999994	Lrig1
MGI:107937	Tfb2m	8.2	14.640000000000004	Tfb2m
MGI:107940	Ezh2	9.850000000000001	22.02	Ezh2;Enx1h
MGI:107943	Cct6a	11.42	90.61000000000003	Cct6a;Cct6;Cctz;Cctz1
MGI:107949	Rhob	3.79	4.8	Rhob;Arhb
MGI:107953	Klc2	9.250000000000002	50.4	Klc2;mCG_8395
MGI:107978	Klc1	11.510000000000002	41.73	Klc1;Kns2
MGI:107979	Kif3c	8.809999999999999	35.68	Kif3c;mCG_140115
MGI:107995	Upf1	7.4799999999999995	48.190000000000005	Upf1;Rent1
MGI:108005	Myd88	7.930000000000001	13.999999999999996	Myd88
MGI:108014	Polr1b	8.619999999999997	22.910000000000004	Polr1b;Rpo1-2;RP24-388N11.1-001;mCG_21006;Rpa2;RP24-388N11.1-002
MGI:108016	Rad21	8.64	12.599999999999996	Rad21;Hr21
MGI:108017	Laptm4a	16.71	5.33	Laptm4a;Mtrp
MGI:108019	Sdf2	9.57	37.849999999999994	Sdf2
MGI:108025	Prkar2a	10.429999999999998	91.30999999999999	Prkar2a;mCG_16488
MGI:108028	Atr	10.94	15.929999999999998	Atr;Kiaa4069
MGI:108030	Hyou1	24.35	89.72000000000003	Hyou1;Grp170
MGI:108047	Bag1	20.340000000000003	56.279999999999994	Bag1
MGI:108048	Smyd5	9.169999999999998	90.40000000000002	Smyd5;Rai15
MGI:108051	Smad2	7.849999999999998	30.120000000000005	Smad2;Madh2;Madr2
MGI:108057	Rpl6	9.99	111.57000000000004	Rpl6
MGI:108069	Ccna2	8.51	4.33	Ccna2;Ccna;Cyca;mCG_14064
MGI:108074	Sptlc2	12.580000000000002	12.960000000000004	Sptlc2;Lcb2
MGI:108079	Sdf4	23.0	7.059999999999999	Sdf4;Cab45
MGI:108080	Serpinf1	16.38	1.69	Serpinf1;Pedf;Sdf3;RP23-384C18.1-006
MGI:108086	Hdac1	11.459999999999999	54.63999999999999	Hdac1
MGI:108087	Hars1	12.810000000000002	95.17000000000002	Hars
MGI:108089	Erh	19.230000000000004	40.86999999999999	Erh
MGI:108091	Bcar1	5.990000000000001	14.389999999999999	Bcar1;Cas;Crkas
MGI:108092	Bin1	13.17	90.80000000000003	Bin1;Amphl;Sh3p9
MGI:108093	Bid	6.29	67.97	Bid
