gene_id	symbol	mrna_half_life_h	n_mrna_cell_lines	prot_half_life_h	n_prot_cell_types	measurement_group
HGNC:10380	MRPS12	2.0965724416357103	10.0	92.47047437575601	2.0	HGNC:10380
HGNC:10381	RPN1	7.247440985597469	11.0	163.67877110761313	4.0	HGNC:10381
HGNC:10382	RPN2	13.73400563237911	11.0	192.3032249499626	4.0	HGNC:10382
HGNC:10383	RPS10	10.891779951993032	11.0	152.40270662041996	4.0	HGNC:10383
HGNC:10384	RPS11	20.432257735873463	11.0	159.18540604515695	4.0	HGNC:10384
HGNC:10385	RPS12	23.053410932107102	11.0	206.29048647810615	4.0	HGNC:10385
HGNC:10386	RPS13	17.924491439873556	11.0	161.3898604693268	3.0	HGNC:10386
HGNC:10387	RPS14	15.690388760354567	11.0	188.20048184628214	4.0	HGNC:10387
HGNC:10388	RPS15	14.883891233298064	11.0	176.76821524649768	4.0	HGNC:10388
HGNC:10389	RPS15A	16.435702183010132	11.0	208.6084844485953	4.0	HGNC:10389
HGNC:10396	RPS16	16.180834519249007	11.0	173.7312998898859	4.0	HGNC:10396
HGNC:10397	RPS17	9.230474926967425	11.0			HGNC:10397
HGNC:104	CNNM3	2.4520538673153185	11.0	50.4013303289091	4.0	HGNC:104
HGNC:1040	BFSP1	3.209966009561309	6.0			HGNC:1040
HGNC:10401	RPS18	22.902674635420556	11.0	212.2336237685555	4.0	HGNC:10401
HGNC:10402	RPS19	9.611071324571931	11.0	161.29339545855453	4.0	HGNC:10402
HGNC:10404	RPS2	19.915732391027117	11.0	201.48640189832082	4.0	HGNC:10404
HGNC:10405	RPS20	10.664235794994712	11.0	193.51006537474328	4.0	HGNC:10405
HGNC:10409	RPS21	19.154163663623702	11.0	178.44233076239422	4.0	HGNC:10409
HGNC:10410	RPS23	12.002457467100475	11.0	180.00376673040574	4.0	HGNC:10410
HGNC:10411	RPS24	21.422867329725968	11.0	177.8139654908658	4.0	HGNC:10411
HGNC:10413	RPS25	17.59111173421663	11.0	161.18297713899398	4.0	HGNC:10413
HGNC:10414	RPS26	12.410999995084765	9.0	172.73215967679081	3.0	HGNC:10414
HGNC:10416	RPS27	15.767248081245114	11.0	131.08183755624444	4.0	HGNC:10416
HGNC:10417	RPS27A	16.55441397926245	11.0	82.72602787173058	3.0	HGNC:10417
HGNC:10418	RPS28	11.75109462314802	11.0	130.82320344749766	4.0	HGNC:10418
HGNC:10419	RPS29	12.475712076629058	11.0			HGNC:10419
HGNC:10420	RPS3	21.73654514865476	11.0	186.08428721421163	4.0	HGNC:10420
HGNC:10421	RPS3A	15.406849222525981	10.0	188.5987165062046	4.0	HGNC:10421
HGNC:10424	RPS4X	15.74055167270126	11.0	175.0023312892869	4.0	HGNC:10424
HGNC:10425	RPS4Y1			208.60545392524597	2.0	HGNC:10425
HGNC:10426	RPS5	10.541437896513914	11.0	170.81523641218487	4.0	HGNC:10426
HGNC:10429	RPS6	14.945472961170015	11.0	178.91997174021242	4.0	HGNC:10429
HGNC:10430	RPS6KA1	3.4702171633536003	10.0	72.46318664848346	3.0	HGNC:10430
HGNC:10431	RPS6KA2	3.4937807795634486	4.0			HGNC:10431
HGNC:10432	RPS6KA3	5.021379782146475	10.0	108.82331240634015	4.0	HGNC:10432
HGNC:10433	RPS6KA4	4.308676426199716	11.0	113.45889407429746	3.0	HGNC:10433
HGNC:10434	RPS6KA5	1.0947398910217574	8.0	150.26344559569998	2.0	HGNC:10434
HGNC:10435	RPS6KA6	5.19692318794065	3.0			HGNC:10435
HGNC:10436	RPS6KB1	2.153554416609652	11.0	74.52663250002391	1.0	HGNC:10436
HGNC:10437	RPS6KB2	8.810840261575743	11.0			HGNC:10437
HGNC:10439	RPS6KC1	2.3824931905951603	10.0	66.24552653893919	1.0	HGNC:10439
HGNC:1044	BGN	6.552208677042897	1.0			HGNC:1044
HGNC:10440	RPS7	16.172438840970017	11.0	183.83794606401213	4.0	HGNC:10440
HGNC:10441	RPS8	17.73021912223936	11.0	177.82141982549547	4.0	HGNC:10441
HGNC:10442	RPS9	10.86335068383695	11.0	206.95276207205274	4.0	HGNC:10442
HGNC:10445	CNOT9	2.486029228525243	11.0	143.94359563938627	4.0	HGNC:10445
HGNC:10446	RRAD	1.3711437099263395	1.0	114.44924505112489	1.0	HGNC:10446
HGNC:10447	RRAS	7.222859786145865	10.0	74.82974552582537	3.0	HGNC:10447
HGNC:10448	RRBP1	4.494443342478326	11.0	58.38037790090852	4.0	HGNC:10448
HGNC:10449	RREB1	0.822845541438562	11.0	17.86530616183681	2.0	HGNC:10449
HGNC:10451	RRM1	6.9724218665858535	11.0	22.093743382208093	2.0	HGNC:10451
HGNC:10452	RRM2	2.4787897754235138	11.0			HGNC:10452
HGNC:1046	BHLHE40	0.4394801889370299	10.0	17.26601816836917	1.0	HGNC:1046
HGNC:10461	CLIP1	2.7682434167498187	11.0	52.3245989100594	4.0	HGNC:10461
HGNC:10464	RSU1	9.136895819572837	11.0	104.29772488643435	4.0	HGNC:10464
HGNC:10466	RTKN	2.431004214775147	9.0	48.07822149571974	1.0	HGNC:10466
HGNC:10467	RTN1	5.909345307117651	4.0	87.1819116807677	1.0	HGNC:10467
HGNC:10468	RTN2	5.412734273598031	10.0	1441.502946948162	1.0	HGNC:10468
HGNC:10469	RTN3	10.456656509725093	11.0	130.73334347433612	2.0	HGNC:10469
HGNC:1047	BHMT			1258.7763838767403	1.0	HGNC:1047
HGNC:10471	RUNX1	0.7810809005002746	10.0	55.99143274418534	3.0	HGNC:10471
HGNC:10472	RUNX2	0.8851846274157573	5.0			HGNC:10472
HGNC:10473	RUNX3	1.4515729040086656	4.0	58.59591032711479	2.0	HGNC:10473
HGNC:10474	RUVBL1	6.584651993165656	11.0	329.0631308653507	4.0	HGNC:10474
HGNC:10475	RUVBL2	10.826276486144653	11.0	307.76796768623296	4.0	HGNC:10475
HGNC:10477	RXRA	2.1559163272407105	10.0			HGNC:10477
HGNC:10478	RXRB	2.791787093104282	10.0	32.94282831814697	3.0	HGNC:10478
HGNC:10480	RYBP	0.8623236893838235	10.0			HGNC:10480
HGNC:10481	RYK	3.3678706594974344	10.0			HGNC:10481
HGNC:10483	RYR1	4.829691023849096	2.0			HGNC:10483
HGNC:10484	RYR2	2.1513999927822325	2.0			HGNC:10484
HGNC:10487	S100A10	10.981989850696417	11.0	96.59757365988467	2.0	HGNC:10487
HGNC:10488	S100A11	7.920593494270231	10.0	106.0906922601459	4.0	HGNC:10488
HGNC:10489	S100A12			147.66409963064692	1.0	HGNC:10489
HGNC:1049	BICD1	1.365291011738551	10.0			HGNC:1049
HGNC:10490	S100A13	8.659644499070273	11.0	64.88768848389967	1.0	HGNC:10490
HGNC:10492	S100A2	5.215868835733757	4.0			HGNC:10492
HGNC:10493	S100A3	3.2249890440840367	1.0			HGNC:10493
HGNC:10494	S100A4	7.624195389267644	9.0	319.29343669114775	3.0	HGNC:10494
HGNC:10496	S100A6	14.468380806091366	9.0	164.66802184051318	4.0	HGNC:10496
HGNC:10498	S100A8	8.496566693072774	2.0	897.4082775110363	2.0	HGNC:10498
HGNC:10499	S100A9	5.512610281500313	3.0	764.1081304877476	3.0	HGNC:10499
HGNC:105	CNNM4	1.3980777965710727	11.0	86.56039280863683	3.0	HGNC:105
HGNC:1050	BID	3.7490259202486182	11.0	148.14397605492437	4.0	HGNC:1050
HGNC:10500	S100B	3.4896662215284273	1.0	520.5207804152038	1.0	HGNC:10500
HGNC:10504	S100P	18.23218186892533	3.0	196.63853226857165	1.0	HGNC:10504
HGNC:1051	BIK	1.6697130297209506	6.0			HGNC:1051
HGNC:10513	SAA1	1.4963459294715968	1.0			HGNC:10513
HGNC:10514	SAA2	8.088169076254403	1.0			HGNC:10514
HGNC:10516	SAA4			25.209271294822805	1.0	HGNC:10516
HGNC:10518	VPS52	7.319171157682053	10.0	99.3133237563873	4.0	HGNC:10518
HGNC:10519	SACS	1.9066448585925635	11.0			HGNC:10519
HGNC:1052	BIN1	4.5935636983786985	8.0	131.8547872872576	4.0	HGNC:1052
HGNC:10520	SAFB	2.4348538647553633	11.0	99.68086920155167	4.0	HGNC:10520
HGNC:10522	ACSM3	7.222087121201442	5.0	458.92352967550806	1.0	HGNC:10522
HGNC:10524	SALL1	0.6746056383658853	2.0			HGNC:10524
HGNC:10526	SALL2	0.9564351028603265	7.0			HGNC:10526
HGNC:10527	SALL3	0.7780240106029789	1.0			HGNC:10527
HGNC:10528	SAMSN1	1.1584423632038017	3.0	20.783903751120356	3.0	HGNC:10528
HGNC:1053	BIN2	5.470797458309855	2.0	212.47837412267816	3.0	HGNC:1053
HGNC:10530	SAP18	4.075968168359467	11.0	63.745197899581164	4.0	HGNC:10530
HGNC:10532	SAP30	2.42874474201907	10.0			HGNC:10532
HGNC:10534	SAR1A	3.2956143382147207	11.0	132.86936385371465	3.0	HGNC:10534
HGNC:10535	SAR1B	2.8118397790530425	11.0	126.58266867268955	2.0	HGNC:10535
HGNC:10536	SARDH	10.572535010439388	3.0	429.0577034373756	1.0	HGNC:10536
HGNC:10537	SARS1	4.022769091552189	11.0	169.45268583696162	4.0	HGNC:10537
HGNC:10538	SART1	3.2875525812101305	11.0	55.34923893096126	4.0	HGNC:10538
HGNC:10539	TSPAN31	3.665661445510177	10.0	47.87105792258803	1.0	HGNC:10539
HGNC:1054	BIN3	1.683669764708273	10.0	64.29769626984282	1.0	HGNC:1054
HGNC:10540	SAT1	2.6162320384075954	11.0			HGNC:10540
HGNC:10541	SATB1	1.822894541982021	7.0	39.07355089992272	2.0	HGNC:10541
HGNC:10542	SBF1	5.73440698434543	11.0	93.96976822628162	3.0	HGNC:10542
HGNC:10545	MSMO1	1.2710256864662157	11.0	38.20493913609034	1.0	HGNC:10545
HGNC:10547	SC5D	2.0298425985967534	11.0	52.79461397153623	1.0	HGNC:10547
HGNC:10548	ATXN1	1.041012966170595	8.0			HGNC:10548
HGNC:10549	ATXN10	11.607548796188848	11.0	37.22055513714217	4.0	HGNC:10549
HGNC:1055	BLCAP	2.5877621719284956	11.0			HGNC:1055
HGNC:10555	ATXN2	2.0090413594584717	11.0	42.396752573482075	4.0	HGNC:10555
HGNC:10560	ATXN7	0.9413615818132832	11.0			HGNC:10560
HGNC:10563	SCAMP1	4.235310059018101	10.0	82.82761370219843	4.0	HGNC:10563
HGNC:10564	SCAMP2	3.1625466667193747	11.0	122.36257455882398	3.0	HGNC:10564
HGNC:10565	SCAMP3	5.628890857012291	10.0	73.65805219577499	4.0	HGNC:10565
HGNC:10566	SCAND1	2.4072731791595294	11.0			HGNC:10566
HGNC:10567	SCAND2P	0.8304258635995038	6.0			HGNC:10567
HGNC:1057	BLK	2.7917360760750407	1.0	28.112611514310665	1.0	HGNC:1057
HGNC:10571	SCD	5.171513669015243	11.0	10.858983887130975	1.0	HGNC:10571
HGNC:10573	SCEL	6.51272725692174	1.0			HGNC:10573
HGNC:10575	SCG2	0.8515023889038689	1.0			HGNC:10575
HGNC:10576	CLEC11A	4.513139889573672	9.0			HGNC:10576
HGNC:10577	STMN2			116.77635138574297	2.0	HGNC:10577
HGNC:1058	BLM	2.1093919068993157	11.0			HGNC:1058
HGNC:10580	SCML1	1.911399244125473	7.0			HGNC:10580
HGNC:10581	SCML2	2.2194844936877507	8.0			HGNC:10581
HGNC:10586	SCN1B	2.734499218725975	3.0			HGNC:10586
HGNC:10588	SCN2A	1.3995965449243055	1.0			HGNC:10588
HGNC:10589	SCN2B	4.729811057115731	1.0			HGNC:10589
HGNC:1059	BLMH	4.968686039352098	11.0	219.69366005712794	3.0	HGNC:1059
HGNC:10591	SCN4A	4.020751443545958	1.0			HGNC:10591
HGNC:10592	SCN4B	3.9818588134329636	1.0			HGNC:10592
HGNC:10593	SCN5A	4.184352570990425	3.0			HGNC:10593
HGNC:10596	SCN8A	1.2977541118042437	3.0			HGNC:10596
HGNC:10597	SCN9A	4.5848096301722405	3.0			HGNC:10597
HGNC:10599	SCNN1A	5.788236059043658	4.0			HGNC:10599
HGNC:1060	CXCR5			74.12289588843348	1.0	HGNC:1060
HGNC:10600	SCNN1B	9.320207149649224	1.0			HGNC:10600
HGNC:10601	SCNN1D	4.665754730835507	4.0			HGNC:10601
HGNC:10603	SCO1	2.3033045473862286	11.0	277.3747563148178	3.0	HGNC:10603
HGNC:10604	SCO2	0.9824259986377356	10.0	114.65198242783799	2.0	HGNC:10604
HGNC:10606	SCP2	11.535024539086962	11.0	90.22711516001259	4.0	HGNC:10606
HGNC:10618	CCL2	0.4332597782089652	3.0			HGNC:10618
HGNC:10619	CCL20	1.190322341240313	2.0	49.337054389101034	1.0	HGNC:10619
HGNC:1062	BLVRA	7.865951624283596	11.0	169.79786428547055	3.0	HGNC:1062
HGNC:10622	CCL23	6.704173736324962	2.0			HGNC:10622
HGNC:10625	CCL26	5.44601939517225	1.0			HGNC:10625
HGNC:10627	CCL3	0.2559322265898757	2.0			HGNC:10627
HGNC:1063	BLVRB	9.926512705376522	11.0	197.05475398520664	3.0	HGNC:1063
HGNC:10632	CCL5	8.554828703400066	4.0	769.5304501944107	1.0	HGNC:10632
