gene,species,match,matched_symbol,ortholog,mrna_half_life_h,mrna_source,mrna_neighbors,protein_half_life_h,protein_source,protein_neighbors,d0,d1,d0_assigned,d1_assigned
Hist1h2ap,mouse,synonym,H2ac24,"H2AC8,H2AC4",8.27953230189061,estimated:ortholog+paralog_high+family+function,"ortholog: H2AC8 (human), H2AC4 (human) | paralog_high: H2ax (85%), H2az1 (61%), H2az2 (51%), Macroh2a1 (46%) | family: H2A histones: H2ax,Macroh2a1,H2az1,H2az2 | function: H2az2 (0.91), Zfp512 (0.48), H2az1 (0.44), H1f0 (0.42), Tnrc18 (0.37), Wdhd1 (0.36), H1f2 (0.34), Lrif1 (0.34)",123.49007566418221,estimated:paralog_high+family+function,"paralog_high: H2ac7 (100%), H2ac8 (100%), H2ac11 (100%), H2ac22 (100%), H2ac23 (100%) | family: H2A histones: H2ax,Macroh2a1,H2az1,H2az2,H2ac19,H2ac6,H2ac7,H2ac8 | function: H2ac21 (1.00), H2ac20 (1.00), H2ac10 (1.00), H2ac23 (1.00), H2ac22 (1.00), H2ac12 (0.93), H2az2 (0.91), H2ac19 (0.81)",0.08371815644727504,0.005612978831148209,0.5981742475520396,0.04213633422317314
Hmgn5,mouse,symbol,Hmgn5,HMGN5,18.690000000000005,measured,,130.76000000000002,measured,,0.03708652651471081,0.005300911445089823,0.5981742475520396,0.04213633422317314
Hspb1,mouse,symbol,Hspb1,HSPB1,16.732574299442955,estimated:ortholog+paralog_mid+family+function,"ortholog: HSPB1 (human) | paralog_mid: Cryab (40%), Hspb8 (33%) | family: Small heat shock proteins: Ift25,Hspb8,Cryab | function: Mapk8ip3 (0.18), Prkd1 (0.16), Lgals9 (0.16), Hspa5 (0.16), Fyn (0.15), Cd74 (0.15), Dnaja3 (0.15), Cd44 (0.15)",35.45304244025484,estimated:ortholog+paralog_mid+family+function,"ortholog: HSPB1 (human) | paralog_mid: Cryab (40%), Hspb8 (33%) | family: Small heat shock proteins: Ift25,Hspb8,Cryab | function: Mapk8ip3 (0.18), Prkd1 (0.16), Lgals9 (0.16), Hspa5 (0.16), Fyn (0.15), Cd74 (0.15), Dnaja3 (0.15), Cd44 (0.15)",0.04142501734374614,0.01955113391828165,0.5981742475520396,0.04213633422317314
Id3,mouse,symbol,Id3,ID3,4.827315553154631,estimated:ortholog+paralog_low+family+function,"ortholog: ID3 (human) | paralog_low: Id1 (37%) | family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1 | function: Id1 (0.25), Nif3l1 (0.25), Tle5 (0.22), Mbd3 (0.21), Kdm2a (0.21), Nfic (0.20), Tcerg1 (0.20), Tead2 (0.20)",16.37361490021119,estimated:paralog_low+family+function,"paralog_low: Id1 (37%) | family: Basic helix-loop-helix proteins: Mnt,Ncoa2,Ncoa3,Id1,Max | function: Id1 (0.25), Nif3l1 (0.25), Tle5 (0.22), Mbd3 (0.21), Kdm2a (0.21), Nfic (0.20), Tcerg1 (0.20), Tead2 (0.20)",0.1435885375479497,0.04233317961759348,0.8462599689699751,0.042880540103366734
Klf2,mouse,symbol,Klf2,KLF2,5.060192732563938,estimated:ortholog+paralog_low+function,"ortholog: KLF2 (human) | paralog_low: Klf13 (22%) | function: Ncor2 (0.20), Gabpa (0.20), Rbfox2 (0.20), Hmga1 (0.20), Zbtb7a (0.20), Shc1 (0.19), Stat6 (0.19), Tbl1xr1 (0.19)",38.870184062189765,estimated:paralog_low+function,"paralog_low: Klf13 (22%) | function: Ncor2 (0.20), Gabpa (0.20), Rbfox2 (0.20), Hmga1 (0.20), Zbtb7a (0.20), Shc1 (0.19), Stat6 (0.19), Tbl1xr1 (0.19)",0.13698039129998435,0.017832361674721037,1.1710729834851308,0.05329708152377971
Klf4,mouse,symbol,Klf4,KLF4,6.310942824572705,estimated:ortholog+function,"ortholog: KLF4 (human) | function: Rela (0.23), Yy1 (0.19), Hdac2 (0.19), Hdac1 (0.18), Stat1 (0.17), Ezh2 (0.17), Cebpb (0.17), Stat6 (0.17)",33.85250904520291,estimated:function,"function: Rela (0.23), Yy1 (0.19), Hdac2 (0.19), Hdac1 (0.18), Stat1 (0.17), Ezh2 (0.17), Cebpb (0.17), Stat6 (0.17)",0.10983258759072599,0.020475503887596426,1.1710729834851308,0.05329708152377971
Krt8,mouse,symbol,Krt8,KRT8,13.557074363627772,estimated:ortholog+paralog_low+function,"ortholog: KRT8 (human) | paralog_low: Lmnb2 (22%), Lmna (22%), Lmnb1 (22%) | function: Csrp1 (0.30), Flnc (0.30), Csrp2 (0.29), Cfl2 (0.23), Myl9 (0.21), Dnajb6 (0.21), Flnb (0.18), Plec (0.17)",51.4277986835194,estimated:ortholog+paralog_mid+family+function,"ortholog: KRT8 (human) | paralog_mid: Krt90 (57%), Krt5 (55%), Krt76 (50%), Krt87 (48%), Krt81 (47%) | family: Keratins, type II: Krt86,Krt85,Krt76,Krt81,Krt90,Krt74,Krt87,Krt83 | function: Csrp1 (0.30), Flnc (0.30), Csrp2 (0.29), Cfl2 (0.23), Myl9 (0.21), Dnajb6 (0.21), Krt5 (0.19), Flnb (0.18)",0.05112807984734431,0.013478064360201205,1.1710729834851308,0.05329708152377971
Lncenc1,mouse,symbol,Lncenc1,LINC01157,9.92,global_median,,47.91,global_median,,0.06987370771773642,0.01446769318639001,0.6271061516110191,0.055386531727107634
Lox,mouse,symbol,Lox,LOX,14.214864263954356,estimated:ortholog+paralog_low+function,"ortholog: LOX (human) | paralog_low: Loxl4 (26%) | function: Loxl4 (0.19), Col1a2 (0.16), Hspg2 (0.15), Fkbp10 (0.15), Rbm15 (0.14), Ccn1 (0.14), Col1a1 (0.13), Col5a1 (0.13)",9.385017149447473,estimated:paralog_low+function,"paralog_low: Loxl4 (26%) | function: Loxl4 (0.19), Col1a2 (0.16), Hspg2 (0.15), Fkbp10 (0.15), Rbm15 (0.14), Ccn1 (0.14), Col1a1 (0.13), Col5a1 (0.13)",0.048762138539557354,0.07385678358624558,0.6271061516110191,0.055386531727107634
Marcksl1,mouse,symbol,Marcksl1,MARCKSL1,9.78,measured,,32.339999999999996,measured,,0.07087394484253019,0.02143312246629392,0.6602898939959303,0.04915658960721549
