,score_Pluripotency,score_Post-implantation_Epiblast,score_Extraembryonic_Endoderm,score_Neuroectoderm,dominant_signature,leiden_sig,leiden_cell_type
135,2.547941525777181,0.4507101774215698,0.2784798781077067,-1.171666940053304,Pluripotency,0,Pluripotency
136,3.7449318885803224,-1.8695180416107178,-1.188616434733073,0.0,Pluripotency,0,Pluripotency
137,3.242403284708659,0.6378825664520263,-0.42525504430135086,-1.178520679473877,Pluripotency,0,Pluripotency
138,0.4500277042388916,0.0,-1.4418166478474934,0.6604663675481622,Neuroectoderm,0,Pluripotency
139,2.0794442176818846,0.8597386598587038,-1.0262015183766684,-1.4772916851621685,Pluripotency,0,Pluripotency
140,2.472198247909546,-0.5772201538085939,-0.31253286997477225,-0.571754975752397,Pluripotency,0,Pluripotency
141,3.0866696357727053,-0.27849775552749634,1.3796931743621825,-2.1841097672780356,Pluripotency,0,Pluripotency
142,1.665567747751872,0.5677515506744384,0.6646690368652344,-1.1077817281087239,Pluripotency,0,Pluripotency
143,2.517076110839844,-1.7535037994384766,0.7014015197753907,0.0,Pluripotency,0,Pluripotency
144,-1.0432594299316407,-0.9780557155609131,0.7824445724487304,0.7113132476806641,Extraembryonic_Endoderm,0,Pluripotency
145,1.6321436882019043,0.0,0.0,0.0,Pluripotency,3,Pluripotency
146,4.416218376159668,-1.8400909900665283,-1.2844521204630535,-1.1690025329589844,Pluripotency,0,Pluripotency
147,4.540135018030803,-1.8487951397895812,0.5779448509216308,-1.261438210805257,Pluripotency,0,Pluripotency
148,0.4024182001749672,-0.8516930937767029,-0.500409475962321,0.6823765581304376,Neuroectoderm,0,Pluripotency
149,3.724367046356201,-0.8516930937767029,0.0,0.0,Pluripotency,0,Pluripotency
150,5.031285572052002,-0.8967781066894531,-1.280790646870931,-1.1281904379526775,Pluripotency,0,Pluripotency
151,1.1807808876037598,-0.15804417133331294,-1.0536278088887532,-0.0091357953620681,Pluripotency,0,Pluripotency
152,1.3693963368733724,1.3453266143798828,0.6726633071899414,-2.242211023966471,Pluripotency,0,Pluripotency
153,4.874607753753662,-0.2334920525550842,-1.1629468599955242,-1.1629468599955242,Pluripotency,0,Pluripotency
154,2.3473537445068358,-0.2648858547210693,-1.188616434733073,0.0,Pluripotency,0,Pluripotency
155,2.271730661392212,-0.15947064161300661,0.0,0.0,Pluripotency,1,Extraembryonic Endoderm
156,3.778875160217285,-0.927397608757019,-1.3520046869913738,-1.2365301450093586,Pluripotency,0,Pluripotency
157,2.446507581075032,-0.8914623260498047,0.7131698608398438,-0.5402801976059423,Pluripotency,0,Pluripotency
158,4.372969404856364,-1.165762197971344,0.2618083635965983,-1.5163452264034385,Pluripotency,0,Pluripotency
159,-0.5523210525512696,0.6908754825592041,-0.4605836550394695,-0.5233905170903063,Post-implantation_Epiblast,0,Pluripotency
160,5.098277997970581,-0.43302667140960693,-1.4441391150156655,-1.9320228099822998,Pluripotency,0,Pluripotency
161,1.9521291891733807,-1.0363132238388062,-1.1514591375986736,0.6280686205083673,Pluripotency,0,Pluripotency
162,0.8549394766489666,0.0,0.8363275527954102,-1.2108550071716309,Pluripotency,0,Pluripotency
163,3.0405609130859377,-0.19003505706787105,-1.2669003804524739,-1.2669003804524739,Pluripotency,0,Pluripotency
164,4.810293022791545,-1.6931192278862,-1.4355470339457193,-0.48559867252003064,Pluripotency,0,Pluripotency
